StoredProcedure|Path|LineNumber|Line
spDALCPBStoreList|C:\CSPData\Development\Rocket\Web\CSPWeb\Content\POSManagement\CPB\Resources\Class\SyncRebate.cs|15488|cmdTemp.CommandText = "spDALCPBStoreListByProgramID";

spDALCPBStoreList|C:\CSPData\Development\Rocket\Web\CSPWeb\Content\POSManagement\CPB\Resources\Class\SyncRebate.cs|145668|cmdTemp.CommandText = "spDALCPBStoreListByProgramID";

spBLCPBItemPriceChangeVerify|C:\CSPData\Development\Rocket\Web\CSPWeb\Content\POSManagement\CPB\Resources\handler\CPBItemAddNewVerify.ashx.cs|69505|cmdTemp.CommandText = "[V10].[spBLCPBItemPriceChangeVerify]";

spDALCPBCostChangesUpdate|C:\CSPData\Development\Rocket\Web\CSPWeb\Content\POSManagement\CPB\Resources\handler\CPBItemAddNewVerify.ashx.cs|98249|cmdTemp.CommandText = "[V10].[spDALCPBCostChangesUpdate]";

spDALItemGroupDetail|C:\CSPData\Development\Rocket\Web\CSPWeb\Content\POSManagement\CPB\Resources\handler\CPBItemGroupDetail.ashx.cs|24999|cmdPriceChange.CommandText = "spDALItemGroupDetail";

spBLCPBAddNewItem|C:\CSPData\Development\Rocket\Web\CSPWeb\Content\POSManagement\CPB\Resources\handler\CPBItemUpdate.ashx.cs|413119|cmdTemp.CommandText = "[V10].spBLCPBAddNewItem";

spDALCPBMarkItemAsVerfied|C:\CSPData\Development\Rocket\Web\CSPWeb\Content\POSManagement\CPB\Resources\handler\CPBMonitorUnverifiedItems.ashx.cs|35944|cmdTemp.CommandText = "spDALCPBMarkItemAsVerfied";

spBLCPBAddNewItem|C:\CSPData\Development\Rocket\Web\CSPWeb\Content\POSManagement\CPB\Resources\handler\CPBPOSItemAddNew.ashx.cs|139456|cmdTemp.CommandText = "[V10].spBLCPBAddNewItem";

spBLCPBSaleItemPackAdd|C:\CSPData\Development\Rocket\Web\CSPWeb\Content\POSManagement\CPB\Resources\handler\CPBPOSPriceChange.ashx.cs|147373|cmdTemp.CommandText = "[V10].[spBLCPBSaleItemPackAdd]";

spBLCPBAddNewItem|C:\CSPData\Development\Rocket\Web\CSPWeb\Content\POSManagement\CPB\Resources\handler\CPBPOSPriceChange.ashx.cs|170585|cmdTemp.CommandText = "[V10].[spBLCPBAddNewItem]";

spDALCPBStoreList|C:\CSPData\Development\Rocket\Web\CSPWeb\Content\POSManagement\CPB\Resources\handler\CPBPOSPurchaseRebateProgramStoreList.ashx.cs|16653|cmdTemp.CommandText = "spDALCPBStoreListWithProgramAssigned";

spBLPendingChangeCreateBatch|C:\CSPData\Development\Rocket\Web\CSPWeb\Content\POSManagement\CPB\Resources\handler\CPBPriceChangeItemStagging.ashx.cs|90471|cmdTemp.CommandText = "spBLPendingChangeCreateBatch";

spDALPromotionList|C:\CSPData\Development\Rocket\Web\CSPWeb\Content\POSManagement\CPB\Resources\handler\CPBPromoDetails.ashx.cs|22949|cmdPriceChange.CommandText = "spDALPromotionListFind";

spDALPOSKeyDelete|C:\CSPData\Development\Rocket\Web\CSPWeb\Content\POSManagement\CPB\Resources\handler\CPBRegisterKeyDelete.ashx.cs|11920|cmdTemp.CommandText = "spDALPOSKeyDelete";

spBLCPBSaleItemPackAdd|C:\CSPData\Development\Rocket\Web\CSPWeb\Content\POSManagement\CPB\Resources\handler\CPBSaleItemPacksAddUpdate.ashx.cs|135977|cmdTemp.CommandText = "[V10].spBLCPBSaleItemPackAdd";

spBLCPBSaleItemPackAdd|C:\CSPData\Development\Rocket\Web\CSPWeb\Content\POSManagement\CPB\Resources\handler\CPBSalesItemPackUpdate.ashx.cs|389551|cmdTemp.CommandText = "[V10].spBLCPBSaleItemPackAdd";

spDALCPBGetStoreList|C:\CSPData\Development\Rocket\Web\CSPWeb\Content\POSManagement\CPB\Resources\handler\CPBStoreList.ashx.cs|11920|cmdTemp.CommandText = "spDALCPBGetStoreList";

spDALCigaretteReport|C:\CSPData\Development\Rocket\Web\CSPWeb\Content\POSManagement\DataExchange\Resources\Handler\DataExchangeGetReportData.ashx.cs|55275|cmdTemp.CommandText = "spDALCigaretteReportRJR";

spINVAdjBatchDelete|C:\CSPData\Development\Rocket\Web\CSPWeb\Content\POSManagement\Inventory\Resources\handler\INVAdjBatchDelete.ashx.cs|10577|cmdTemp.CommandText = "spINVAdjBatchDelete";

spINVAdjBatchDelete|C:\CSPData\Development\Rocket\Web\CSPWeb\Content\POSManagement\Inventory\Resources\handler\InventoryAdjBatchDelete.ashx.cs|10532|cmdTemp.CommandText = "[inv].[spINVAdjBatchDelete]";

spBLVendorPOStagingInsert|C:\CSPData\Development\Rocket\Web\CSPWeb\Content\POSManagement\Ordering\Resouces\handler\OrderingStaging.ashx.cs|163898|cmdTemp.CommandText = "spBLVendorPOStagingInsertBySalesHistory";

spDALDBDailyGetDashBoardDataFromSQL|C:\CSPData\Development\Rocket\Web\CSPWeb\Content\POSManagement\PGSQL\DailyGetDashBoardData.cs|110736|cmdDailySales.CommandText = "[V10].[spDALDBDailyGetDashBoardDataFromSQL]";

spDALODGetStoreOpeningValuesFromSQL|C:\CSPData\Development\Rocket\Web\CSPWeb\Content\POSManagement\PGSQL\GetStoreOpeningValues.cs|150632|using (SqlCommand cmdTemp = new SqlCommand("[v10].[spDALODGetStoreOpeningValuesFromSQL]", cnTemp))

